ISINCode,AssetClass,SubAssetClass,IndexName,IndexAgg,IndexCode,IndexFamily,IndexProvider,ReturnType,RebalanceFrequency,ActivelyManaged,Backing,Synthetic,CurrencyHedge,HedgeFrom,HedgeTo,Development,Region,Country,EquitySize,EquityIsSector,EquitySectorCycles,EquitySector,EquitySubSector,EquityIsThematic,IsESG,EquityESGType,EquityIsFactor,EquityIsIncome,EquityIsValue,EquityIsQuality,EquityIsMomentum,EquityIsSize,EquityIsGrowth,EquityIsLowVol,EquityBetaCorrelation,FactorIsMultiFactor,EquityFactorDes,EquityIsStrategy,EquityBuybackYield,EquityIsCapped,EquityIsEqualWeight,EquityIsRiskWeight,EquityIsAlternativeWeight,EquityStrategyRevenueAbroad,EquityStrategyDes,FixedIncomeCategory,FixedIncomeType,FixedIncomeMaturityGroup,FixedIncomeMaturityName,FixedIncomeRatingGroup,FixedIncomeRating,FixedIncomeDominateCurrencyGroup,FixedIncomeDominateCurrency,FixedIncomeSector,FixedIncomeIsFloating,FixedIncomeFloatingFixed,FixedIncomeIsFactor,FixedIncomeIsLiquidity,FixedIncomeIsYield,FixedIncomeIsMomentum,FixedIncomeIsCarry,FixedIncomeIsQuality,FixedIncomeIsValue,FixedIncomeFactorDes,FixedIncomeIsStrategy,FixedIncomeInflationBreakeven,FixedIncomeDurationNeutral,FixedIncomeAlternativeWeight,FixedIncomeIsCapped,FixedIncomeStrategyDes,CurrencyType,CurrencyBucket1,CurrencyBucket2,CommoditySector,CommodityUnderlying,CommoditySpotForward,CommodityRollOptimised,CommodityPhysicalHeld,CommodityIsCapped,CommodityAlternativeWeight,CommodityStrategyDes,StructuredType,StructuredTracking,StructuredMultiple,StructuredLeverage,StructuredSector,ClassLevel1,ClassLevel2,ClassLevel3,ClassType
JE00B1VS3333,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106405845,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106405951,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,USD,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
IE00B43VDT70,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
IE00B4NCWG09,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0118929048,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
DE000A1E0HS6,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
GB00B57Y9462,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106405894,Commodity,Commodity,LBMA Silver Price PM Fixing,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,CHF,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106405860,Commodity,Commodity,LBMA Silver Price PM Fixing,LBMA Silver,LB01391,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,EUR,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
